Data Split,Balanced,Balance Method,Learner,Prediction Type,Training Observations,Testing Observations,TN,FN,TP,FP,Accuracy,Sensitivity,Specificity,Precision,F1 Score
70-30%,TRUE,ROSE,nnet,class,518551,222488,131029,20699,25877,44883,0.705233541,0.555586568,0.744855382,0.365700961,0.441075203
70-30%,TRUE,ROSE,ensemble,multiple,2592755,222488,123371,20570,26006,52541,0.671393513,0.558356235,0.701322252,0.331088393,0.415686964
70-30%,TRUE,datasets,glm,response,218050,222488,105412,17624,28952,70500,0.603915717,0.621607695,0.599231434,0.291115312,0.396526694
70-30%,TRUE,datasets,rpart,class,218050,222488,113975,16766,29810,61937,0.646259574,0.6400292,0.647909182,0.324915256,0.431020148
70-30%,TRUE,datasets,naiveBayes,class,218050,222488,136137,26106,20470,39775,0.703889648,0.439496737,0.773892628,0.339779235,0.383257974
70-30%,TRUE,datasets,nnet,class,164902,222488,119032,16953,29623,56880,0.668148395,0.636014256,0.67665651,0.342450551,0.445194208
70-30%,TRUE,datasets,ensemble,multiple,819052,222488,126391,20758,25818,49521,0.68412229,0.554319821,0.718489927,0.342691037,0.423540992
70-30%,TRUE,datasets,ensemble of differing classifiers on train1,multiple,218050,222488,109665,16098,30478,66247,0.629890151,0.65437135,0.623408295,0.315099509,0.425370374
70-30%,TRUE,datasets,ensemble of differing classifiers on train2,multiple,218050,222488,112958,16458,30118,62954,0.643072885,0.646642047,0.642127882,0.323598934,0.431341659
70-30%,TRUE,datasets,ensemble of differing classifiers on train3,multiple,218050,222488,117155,17392,29184,58757,0.657738844,0.626588801,0.665986402,0.33185886,0.433907982
70-30%,TRUE,datasets,ensemble of differing classifiers on train4,multiple,164902,222488,116363,17333,29243,59549,0.654444285,0.627855548,0.661484151,0.329342734,0.432051888
70-30%,TRUE,datasets,ensemble of differing ensembles,multiple,819052,222488,118390,17681,28895,57522,0.661990759,0.620383889,0.673006958,0.334367081,0.434534148
70-30%,TRUE,datasets,ensemble of glms on train1,response,218050,222488,105412,17624,28952,70500,0.603915717,0.621607695,0.599231434,0.291115312,0.396526694
70-30%,TRUE,datasets,ensemble of trees on train2,class,218050,222488,113975,16766,29810,61937,0.646259574,0.6400292,0.647909182,0.324915256,0.431020148
70-30%,TRUE,datasets,ensemble of naiveBayeses on train3,class,218050,222488,136137,26106,20470,39775,0.703889648,0.439496737,0.773892628,0.339779235,0.383257974
70-30%,TRUE,datasets,ensemble of nnets on train4,class,164902,222488,121999,17055,29521,53913,0.681025494,0.633824287,0.693522898,0.35382458,0.454134297
70-30%,TRUE,datasets,ensemble of similar ensembles,multiple,819052,222488,127812,21001,25575,48100,0.689416957,0.549102542,0.726567829,0.347132677,0.425360288
75-25%,FALSE,NA,glm,response,555648,185391,145816,38422,566,587,0.789585255,0.014517287,0.995990519,0.490893322,0.028200593
75-25%,FALSE,NA,rpart,class,555648,185391,145770,36401,2587,633,0.800238415,0.06635375,0.995676318,0.803416149,0.122583397
75-25%,FALSE,NA,rpart,prob,555648,185391,117806,28749,10239,28597,0.690675383,0.262619267,0.804669303,0.263647132,0.263132196
75-25%,FALSE,NA,naiveBayes,class,555648,185391,134638,32321,6667,11765,0.762199891,0.171001334,0.919639625,0.361707899,0.232218739
75-25%,FALSE,NA,nnet,class,555648,185391,143442,33462,5526,2961,0.803534152,0.141735919,0.979775005,0.651113468,0.232796209
75-25%,FALSE,NA,ensemble,multiple,2778240,185391,145377,36005,2983,1026,0.800254597,0.076510721,0.992991947,0.744075829,0.138753867
75-25%,TRUE,ROSE,glm,response,555648,185391,87702,13942,25046,58701,0.608163287,0.642402791,0.599045102,0.299067429,0.40813134
75-25%,TRUE,ROSE,rpart,class,555648,185391,87876,13275,25713,58527,0.612699646,0.659510619,0.600233602,0.305235043,0.417323985
75-25%,TRUE,ROSE,rpart,prob,555648,185391,79532,18263,20725,66871,0.54078677,0.531573818,0.543240234,0.236597562,0.327450547
75-25%,TRUE,ROSE,naiveBayes,class,555648,185391,98303,17601,21387,48100,0.645608471,0.548553401,0.67145482,0.30778419,0.394321272
75-25%,TRUE,ROSE,nnet,class,555648,185391,105334,16668,22320,41069,0.688566327,0.572483841,0.719479792,0.352111565,0.436035438
75-25%,TRUE,ROSE,ensemble,multiple,2778240,185391,96028,14864,24124,50375,0.648100501,0.618754489,0.655915521,0.323816427,0.425141206
75-25%,TRUE,datasets,glm,response,233226,185391,87413,14914,24074,58990,0.601361447,0.617472043,0.597071098,0.289824713,0.394487595
75-25%,TRUE,datasets,rpart,class,233226,185391,94633,14211,24777,51770,0.644098149,0.635503232,0.646387028,0.323683489,0.428908989
75-25%,TRUE,datasets,naiveBayes,class,233226,185391,109228,20425,18563,37175,0.689305306,0.476120858,0.746077608,0.333040296,0.39193041
75-25%,TRUE,datasets,nnet,class,178392,185391,97601,13837,25151,48802,0.662124914,0.645095927,0.666659836,0.340094384,0.445382988
75-25%,TRUE,datasets,ensemble,multiple,878070,185391,106979,17920,21068,39424,0.690686171,0.540371396,0.730715901,0.348277458,0.423562525
75-25%,TRUE,datasets,ensemble of differing classifiers on train1,multiple,233226,185391,90092,13806,25182,56311,0.621788544,0.645891043,0.615369904,0.309008136,0.418024419
75-25%,TRUE,datasets,ensemble of differing classifiers on train2,multiple,233226,185391,94327,14150,24838,52076,0.642776618,0.637067816,0.644296906,0.322932106,0.428603475
75-25%,TRUE,datasets,ensemble of differing classifiers on train3,multiple,233226,185391,97417,14567,24421,48986,0.657194794,0.626372217,0.665403031,0.332679445,0.434556697
75-25%,TRUE,datasets,ensemble of differing classifiers on train4,multiple,178392,185391,97848,14791,24197,48555,0.658311353,0.62062686,0.66834696,0.332595667,0.433094684
75-25%,TRUE,datasets,ensemble of differing ensembles,multiple,878070,185391,99440,15341,23647,46963,0.663931906,0.606519955,0.679221054,0.334895907,0.431522473
75-25%,TRUE,datasets,ensemble of glms on train1,response,233226,185391,87413,14914,24074,58990,0.601361447,0.617472043,0.597071098,0.289824713,0.394487595
75-25%,TRUE,datasets,ensemble of trees on train2,class,233226,185391,94633,14211,24777,51770,0.644098149,0.635503232,0.646387028,0.323683489,0.428908989
75-25%,TRUE,datasets,ensemble of naiveBayeses on train3,class,233226,185391,109228,20425,18563,37175,0.689305306,0.476120858,0.746077608,0.333040296,0.39193041
75-25%,TRUE,datasets,ensemble of nnets on train4,class,178392,185391,97911,14014,24974,48492,0.662842317,0.640556069,0.668777279,0.339939564,0.444163836
75-25%,TRUE,datasets,ensemble of similar ensembles,multiple,878070,185391,105900,17614,21374,40503,0.686516605,0.548219965,0.723345833,0.345427219,0.423814009
80-20%,FALSE,NA,glm,response,592563,148476,116626,30927,425,498,0.788349632,0.013555754,0.995748096,0.460455038,0.026336174
80-20%,FALSE,NA,rpart,class,592563,148476,116618,29195,2157,506,0.799960936,0.068799439,0.995679792,0.809988735,0.1268264
80-20%,FALSE,NA,rpart,prob,592563,148476,94385,23151,8201,22739,0.69092648,0.261578209,0.805855333,0.265061409,0.26330829
80-20%,FALSE,NA,naiveBayes,class,592563,148476,107946,26107,5245,9178,0.762352165,0.167293953,0.921638605,0.363655273,0.229164391
80-20%,FALSE,NA,nnet,class,592563,148476,116156,28436,2916,968,0.80196126,0.093008421,0.991735255,0.7507724,0.165512544
80-20%,FALSE,NA,ensemble,multiple,2962815,148476,116657,29378,1974,467,0.798991083,0.06296249,0.996012773,0.808684965,0.116828929
80-20%,TRUE,ROSE,glm,response,592563,148476,70505,11060,20292,46619,0.611526442,0.647231437,0.601968854,0.303268521,0.413014054
80-20%,TRUE,ROSE,rpart,class,592563,148476,70580,10405,20947,46544,0.616443062,0.668123246,0.602609201,0.310367308,0.423843874
